id;name;number;URL;socket;Product Collection;Code Name;Vertical Segment;Processor Number;Lithography;Use Conditions;Total Cores;# of Performance-cores;# of Efficient-cores;Total Threads;Max Turbo Frequency;Performance-core Max Turbo Frequency;Efficient-core Max Turbo Frequency;Processor Base Frequency;Cache;Processor Base Power;TDP;Minimum Assured Power;Maximum Assured Power;Turbo Boost Technology 2.0 Frequency;Bus Speed;# of QPI Links;Turbo Boost Max Technology 3.0 Frequency;Performance-core Base Frequency;Efficient-core Base Frequency;Total L2 Cache;Maximum Turbo Power;Configurable TDP-up Base Frequency;Configurable TDP-up;Configurable TDP-down Base Frequency;Configurable TDP-down;Max # of UPI Links;Thermal Velocity Boost Frequency;Deep Learning Boost ( DL Boost) on CPU;UPI Speed;Minimum Assured Frequency;Maximum Assured Frequency;Scenario Design Power (SDP);# of Low Power Efficient-cores;Low Power Efficient-core Max Turbo Frequency;Low Power Efficient-core Base Frequency;AI Software Frameworks Supported by CPU;AI Datatype Support on CPU;Burst Frequency;FSB Parity;Supported FSBs;SpeedStep Max Frequency;Marketing Status;Launch Date;Embedded Options Available;Use Conditions;Supply Status;Servicing Status;End of Servicing Updates Date;Datasheet;Additional Information;Expected Discontinuance;Product Brief;Included Items;Functional Safety (FuSa) Documentation Available;Description;Product Tuning (Embedded Uses);Extended Temperature Options;Max Memory Size (dependent on memory type);Memory Types;Max # of Memory Channels;ECC Memory Supported;Max Memory Bandwidth;Physical Address Extensions;Maximum Memory Speed;Optane Persistent Memory Supported;GPU Name;Graphics Max Dynamic Frequency;Graphics Output;Execution Units;Max Resolution (HDMI);Max Resolution (DP);Max Resolution (eDP - Integrated Flat Panel);DirectX* Support;OpenGL* Support;OpenCL* Support;Multi-Format Codec Engines;Quick Sync Video;# of Displays Supported;Device ID;Graphics Base Frequency;Clear Video HD Technology;Graphics Video Max Memory;4K Support;InTru 3D Technology;Clear Video Technology;Flexible Display Interface ( FDI);Max Resolution (VGA);Macrovision* License Required;Xe-cores;Ray Tracing;H.264 Hardware Encode/Decode;H.265 (HEVC) Hardware Encode/Decode;AV1 Encode/Decode;VP9 Bitstream & Decoding;Deep Learning Boost ( DL Boost) on GPU;AI Software Frameworks Supported by GPU;AI Datatype Support on GPU;Graphics Burst Frequency;Max Refresh Rate;eDRAM;Thunderbolt 4;Microprocessor PCIe Revision;Chipset / PCH PCIe Revision;Max # of PCI Express Lanes;Scalability;PCI Express Revision;PCI Express Configurations;Direct Media Interface (DMI) Revision;Max # of DMI Lanes;PCI Support;Sockets Supported;Max CPU Configuration;TJUNCTION;Package Size;Max Operating Temperature;TCASE;Thermal Solution Specification;Minimum Operating Temperature;Thermal Velocity Boost Temperature;Package Carrier;DTS Max;Processing Die Size;# of Processing Die Transistors;Gaussian & Neural Accelerator;Thread Director;Image Processing Unit;Smart Sound Technology;Wake on Voice;High Definition Audio;MIPI SoundWire*;Deep Learning Boost ( DL Boost) on CPU;Adaptix Technology;Speed Shift Technology;Turbo Boost Technology;Hyper-Threading Technology;Instruction Set;Instruction Set Extensions;Thermal Monitoring Technologies;Flex Memory Access;Volume Management Device (VMD);Transactional Synchronization Extensions;64;Idle States;Enhanced SpeedStep Technology;Instruction Replay Technology;Optane Memory Supported;Turbo Boost Max Technology 3.0;Speed Select Technology – Core Power;Speed Select Technology – Turbo Frequency;Speed Select Technology - Performance Profile;Speed Select Technology - Base Frequency;Resource Director Technology ( RDT);# of AVX-512 FMA Units;Demand Based Switching;Identity Protection Technology;ME Firmware Version;Quiet System Technology;Integrated QuickAssist Technology;Thermal Velocity Boost;Time Coordinated Computing ( TCC);QuickAssist Technology (QAT);Dynamic Load Balancer (DLB);Data Streaming Accelerator (DSA);In-memory Analytics Accelerator (IAA);Advanced Matrix Extensions (AMX);My WiFi Technology;Smart Response Technology;Fast Memory Access;4G WiMAX Wireless Technology;Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);HD Audio Technology;Matrix Storage Technology;Rapid Storage Technology;Smart Connect Technology;Secure Boot;Virtualization Technology for Itanium (VT-i);Smart Idle Technology;Quick Resume Technology;AC97 Technology;I/O Acceleration Technology;On Demand Activation Model;High Priority Cores;High Priority Core Frequency;Low Priority Cores;Low Priority Core Frequency;vRAN Boost;Threat Detection Technology (TDT);Active Management Technology (AMT);Standard Manageability (ISM);Remote Platform Erase (RPE);One-Click Recovery;Hardware Shield Eligibility;QuickAssist Software Acceleration;Control-Flow Enforcement Technology;Total Memory Encryption - Multi Key;Total Memory Encryption;AES New Instructions;Secure Key;OS Guard;Trusted Execution Technology;Execute Disable Bit;Boot Guard;Mode-based Execute Control (MBEC);Stable IT Platform Program (SIPP);Virtualization Technology with Redirect Protection (VT-rp);Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);vPro Eligibility;Software Guard Extensions ( SGX);Platform Firmware Resilience Support;Memory Protection Extensions ( MPX);Run Sure Technology;Default Maximum Enclave Page Cache (EPC) Size for SGX;Crypto Acceleration;Anti-Theft Technology;Trust Domain Extensions ( TDX);# of USB Ports;USB Revision;Total # of SATA Ports;Integrated LAN;General Purpose IO;UART;Max # of SATA 6.0 Gb/s Ports;Integrated IDE;Integrated Wireless;USB Configuration;Interfaces Supported;Baseband Functions;RF Transceiver;RF Transceiver Functions;Protocol Stack;Total Cores;Processor Base Frequency;Cache;Bus Speed;FSB Parity;TDP;VID Voltage Range;Scenario Design Power (SDP);NPU Name;Max Frequency;Sparsity Support;Windows Studio Effects Support;AI Software Frameworks Supported by NPU;AI Datatype Support on NPU;;;Virtual RAID on CPU ( VROC) Activation Options
3867U;Celeron Processor 3867U;number;https://ark.intel.com/content/www/us/en/ark/products/189270/intel-celeron-processor-3867u-2m-cache-1-80-ghz.html;FCBGA1356,FC-BGA1356;Celeron Processor 3000 Series;Products formerly Kaby Lake R;Mobile;;14;;;;;2;;;;1800000000;2 MB Smart Cache;;15;;;;4 GT/s;;;;;;;;;800000000;12.5;;;;;;;;;;;;;;;;;Discontinued;2019-01-01;False;;;;;;;;;;;;;;34359738368;DDR4-2133, LPDDR3-1866, DDR3L-1600;2;False;36614596198;;;;HD Graphics 610;900000000;eDP/DP/HDMI/DVI;12;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;12;4.4;;;True;3;0x5906;300000000;True;34359738368;Yes, at 60Hz;;True;;;;;;;;;;;;;;;;;;;12;;3;1x4, 2x2, 1x2+2x1 and 4x1;;;;;1;100;['42mm X 24mm'];;;;;;;;;;;;;;;;;;;True;False;False;64-bit;['SSE4.1', 'SSE4.2'];True;True;;False;True;True;True;;;;;;;;;;;;;;;;;;;;;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;True;True;False;True;;;False;;True;True;True;;Yes with ME;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4417U;Pentium Gold Processor 4417U;number;https://ark.intel.com/content/www/us/en/ark/products/189269/intel-pentium-gold-processor-4417u-2m-cache-2-30-ghz.html;FCBGA1356,FC-BGA1356;Pentium Gold Processor Series;Products formerly Kaby Lake R;Mobile;;14;;;;;4;;;;2300000000;2 MB Smart Cache;;15;;;;4 GT/s;;;;;;;;;800000000;12.5;;;;;;;;;;;;;;;;;Discontinued;2019-01-01;False;;;;;;;;;;;;;;34359738368;DDR4-2133, LPDDR3-1866, DDR3L-1600;2;False;36614596198;;;;HD Graphics 610;950000000;eDP/DP/HDMI/DVI;12;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;12;4.4;;;True;3;0x5906;300000000;True;34359738368;Yes, at 60Hz;;True;;;;;;;;;;;;;;;;;;;12;;3;1x4, 2x2, 1x2+2x1 and 4x1;;;;;1;100;['42mm X 24mm'];;;;;;;;;;;;;;;;;;;True;False;True;64-bit;['SSE4.1', 'SSE4.2'];True;True;;False;True;True;True;;;;;;;;;;;;;;;;;;;;;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;True;True;False;True;;;False;;True;True;True;;Yes with ME;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B710;Celeron Processor B710;number;https://ark.intel.com/content/www/us/en/ark/products/59569/intel-celeron-processor-b710-1-5m-cache-1-60-ghz.html;PGA988,PPGA988;Legacy Celeron Processor;Products formerly Sandy Bridge;Mobile;;32;;1;;;1;;;;1600000000;1.5 MB L3 Cache;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2011-07-01;False;;;End of Servicing Lifetime;Tuesday, December 31, 2019;;;;;;;;;;17179869184;DDR3 1066/1333;2;False;22870700851;;;;HD Graphics for 2nd Generation Processors;1000000000;eDP/DP/HDMI/SDVO/CRT;;;;;;;;;False;2;;650000000;False;;;False;;True;;False;;;;;;;;;;;;;;;;16;;2;1x16, 2x8, 1x8 2x4;;;;;1;100C;['37.5mmx37.5mm (rPGA988B)'];;;;;;;;;;;;;;;;;;;;False;False;64-bit;['SSE4.1', 'SSE4.2'];True;True;;;True;True;True;;;;;;;;;;False;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;False;True;;;;;True;False;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530;Celeron Processor 530;number;https://ark.intel.com/content/www/us/en/ark/products/33100/intel-celeron-processor-530-1m-cache-1-73-ghz-533-mhz-fsb-socket-p.html;PGA478,PPGA478;Legacy Celeron Processor;Products formerly Merom;Mobile;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2007-01-01;False;;;End of Servicing Lifetime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;['35mm', '35mm'];;100;;;;;;143 mm2;291 million;;;;;;;;;;;False;False;64-bit;;;;;;True;False;False;;;;;;;;;;False;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1730000000;1 MB L2 Cache;533000000;False;27;0.95V-1.30V;;;;;;;;;;
i5-L16G7;Core i5-L16G7 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/202777/intel-core-i5-l16g7-processor-4m-cache-up-to-3-0ghz.html;FC-CSP1016;Legacy Core Processors;Products formerly Lakefield;Mobile;;10;;5;;;5;3000000000;;;1400000000;4194304;;;;;3000000000;4 GT/s;;;;;;;;;;;;;;;;;7;;;;;;;;;;Discontinued;2020-04-01;False;;;End of Servicing Lifetime;Friday, June 30, 2023;;;;;;;;;;8589934592;LPDDR4X 4267 POP Memory;;False;36507222016;;4267000000;;UHD Graphics;500000000;;64;;;;DX12;OpenGL4.5;;;True;4;9940;200000000;;;Yes, at 60Hz;;;;;;;;;;;;;;;;;;;;;6;;3;1x2, 1x2 + 2x1;;;;;1;100;['12mm', '12mm'];;;;;;;;;;;;;;;;;;True;True;2;False;64-bit;['SSE4.1', 'SSE4.2'];;;;True;True;True;;;False;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;True;True;True;False;True;True;;False;;True;True;True;;False;;False;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
i3-L13G4;Core i3-L13G4 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/202778/intel-core-i3-l13g4-processor-4m-cache-up-to-2-8ghz.html;FC-CSP1016;Legacy Core Processors;Products formerly Lakefield;Mobile;;10;;5;;;5;2800000000;;;800000000;4194304;;;;;2800000000.0;4 GT/s;;;;;;;;;;;;;False;;;;7;;;;;;;;;;Discontinued;2020-04-01;False;;;End of Servicing Lifetime;Friday, June 30, 2023;;;;;;;;;;8589934592;LPDDR4X 4267 POP Memory;;False;36507222016;;4267000000;;UHD Graphics;500000000;;48;;;;DX12;OpenGL4.5;;;True;4;9941;200000000;;;Yes, at 60Hz;;;;;;;;;;;;;;;;;;;;;6;;3;1x2, 1x2 + 2x1;;;;;1;100;['12mm', '12mm'];;;;;;;;;;;;;;;;;;True;True;2;False;64-bit;['SSE4.1', 'SSE4.2'];;;;True;True;True;;;False;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;True;True;True;False;True;True;;False;;True;True;True;;False;;False;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP9400;Core2 Duo Processor SP9400;number;https://ark.intel.com/content/www/us/en/ark/products/36693/intel-core-2-duo-processor-sp9400-6m-cache-2-40-ghz-1066-mhz-fsb.html;BGA956;Legacy Core Processors;Products formerly Penryn;Mobile;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2008-07-01;False;;;End of Servicing Updates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;['22mm', '22mm'];;;;;;;;107 mm2;410 million;;;;;;;;;;;False;False;64-bit;;;;;;True;False;True;;;;;;;;;;False;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2400000000;6 MB L2 Cache;1066000000;False;25;;;;;;;;;;;
SU3500;Core2 Solo Processor SU3500;number;https://ark.intel.com/content/www/us/en/ark/products/42113/intel-core-2-solo-processor-su3500-3m-cache-1-30-ghz-800-mhz-fsb.html;BGA956;Legacy Core Processors;Products formerly Penryn;Mobile;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2009-04-01;False;;;End of Servicing Updates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;107 mm2;410 million;;;;;;;;;;;False;False;64-bit;;;;;;True;;True;;;;;;;;;;False;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1300000000;3145728;800000000;False;5.5;1.050V-1.150V;;;;;;;;;;
SU9300;Core2 Duo Processor SU9300;number;https://ark.intel.com/content/www/us/en/ark/products/36695/intel-core-2-duo-processor-su9300-3m-cache-1-20-ghz-800-mhz-fsb.html;BGA956;Legacy Core Processors;Products formerly Penryn;Mobile;;45;PC/Client/Tablet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2008-07-01;True;;;End of Servicing Updates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;['22mm', '22mm'];;;;;;;;107 mm2;410 million;;;;;;;;;;;False;False;64-bit;;;;;;True;;True;;;;;;;;;;False;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1200000000;3 MB L2 Cache;800000000;False;10;1.050V-1.150V;;;;;;;;;;
723;Celeron M Processor ULV 723;number;https://ark.intel.com/content/www/us/en/ark/products/36685/intel-celeron-m-processor-ulv-723-1m-cache-1-20-ghz-800-mhz-fsb.html;BGA956;Legacy Celeron Processor;Products formerly Penryn;Mobile;;45;PC/Client/Tablet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2008-07-01;True;;;End of Servicing Lifetime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;['22mm', '22mm'];;;;;;;;107 mm2;410 million;;;;;;;;;;;False;False;64-bit;;;;;;True;;False;;;;;;;;;;False;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1200000000;1 MB L2 Cache;800000000;False;10;1.050V-1.150V;;;;;;;;;;
